Date,Temperature,Humidity,Precipitation
2023-01-01,5.0,80,2.5
2023-01-02,2.0,85,5.0
2023-02-05,-3.0,90,1.2
2023-02-10,0.0,88,3.8
2023-03-15,10.0,75,0.0
2023-03-20,15.0,65,0.5
2023-04-01,20.0,55,0.0
2023-04-10,22.5,60,0.0
2023-05-05,25.0,50,0.0
2023-05-20,28.0,45,0.2
2023-06-01,30.5,40,0.0
2023-06-10,33.0,35,0.1
2023-07-04,35.0,30,0.0
2023-07-15,37.2,28,0.0
2023-08-10,34.0,40,0.5
2023-08-20,36.5,38,0.2
2023-09-01,29.0,50,0.0
2023-09-15,27.5,55,0.0
2023-10-01,18.0,70,1.0
2023-10-15,15.5,75,2.3
2023-11-01,10.0,80,3.0
2023-11-10,7.0,85,4.5
2023-12-01,2.5,88,6.0
2023-12-20,-1.0,90,5.2